player_id,year,player_name,position_combine,School,height(1),Height(inches),weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,nfl_team,position_nfl,position_nfl_standard,draft_round,draft_pick
2013DeVoHoll,2013,DeVonte Holloman,OLB,South Carolina,6 ft 1 in,73,243,4.76,33,15,113,7.3,4.26,DAL,LB,LB,6,185
2013MontHugh,2013,Montori Hughes,DT,Tennessee-Martin,6 ft 4 in,76,329,5.23,26.5,22,104,7.85,4.7,IND,DT,DT,5,139
2013MargHunt,2013,Margus Hunt,DE,SMU,6 ft 8 in,80,277,4.62,34.5,38,121,7.07,4.51,CIN,DE,DE,2,53
2013MicaHyde,2013,Micah Hyde,CB,Iowa,6 ft 0 in,72,197,4.56,33,12,121,6.78,4.2,GNB,DB,DB,5,159
2013LukeJoec,2013,Luke Joeckel,OT,Texas A&M,6 ft 6 in,78,306,5.3,28.5,27,106,7.4,4.68,JAX,T,T,1,2
2013LaneJohn,2013,Lane Johnson,OT,Oklahoma,6 ft 6 in,78,303,4.72,34,28,118,7.31,4.52,PHI,T,T,1,4
2013T.J.John,2013,T.J. Johnson,C,South Carolina,6 ft 4 in,76,310,5.33,25.5,32,96,7.83,4.74,CIN,C,C,7,251
2013DatoJone,2013,Datone Jones,DE,UCLA,6 ft 4 in,76,283,4.8,31.5,29,112,7.32,4.32,GNB,DE,DE,1,26
2013TavaKing,2013,Tavarres King,WR,Georgia,6 ft 0 in,72,189,4.47,36.5,11,123,6.91,4.33,DEN,WR,WR,5,161
2013Joe Krug,2013,Joe Kruger,DE,Utah,6 ft 6 in,78,269,4.83,34,24,117,7.17,4.46,PHI,DE,DE,7,212
2013EdmuKugb,2013,Edmund Kugbila,OG,Valdosta State,6 ft 4 in,76,317,5.13,22.5,23,105,7.72,4.65,CAR,OL,G,4,108
2013CoreLemo,2013,Corey Lemonier,DE,Auburn,6 ft 3 in,75,255,4.6,33,27,119,7.14,4.4,SFO,DE,DE,3,88
2013BennLoga,2013,Bennie Logan,DT,LSU,6 ft 2 in,74,309,5.08,25,30,104,7.53,4.67,PHI,DT,DT,3,67
2013TyraMath,2013,Tyrann Mathieu,CB,LSU,5 ft 9 in,69,186,4.5,34,4,117,6.87,4.14,ARI,DB,DB,3,69
2013DemeMcCr,2013,Demetrius McCray,CB,Appalachian State,6 ft 1 in,73,187,4.54,36,4,126,7.17,4.32,JAX,DB,DB,7,210
2013T.J.McDo,2013,T.J. McDonald,S,USC,6 ft 2 in,74,219,4.59,40,19,131,6.89,4.2,STL,DB,DB,3,71
2013VancMcDo,2013,Vance McDonald,TE,Rice,6 ft 4 in,76,267,4.69,33.5,31,119,7.08,4.53,SFO,TE,TE,2,55
2013LeonMcFa,2013,Leon McFadden,CB,San Diego State,5 ft 10 in,70,193,4.54,34.5,10,119,6.81,4.27,CLE,DB,DB,3,68
2013BranMcGe,2013,Brandon McGee,CB,Miami (FL),5 ft 11 in,71,193,4.4,33.5,14,119,6.71,4.18,STL,DB,DB,5,149
2013AaroMell,2013,Aaron Mellette,WR,Elon,6 ft 2 in,74,217,4.54,33.5,9,123,7.11,4.41,BAL,WR,WR,7,238
2013ChriMich,2013,Christine Michael,RB,Texas A&M,5 ft 10 in,70,220,4.54,43,27,125,6.69,4.02,SEA,RB,RB,2,62
2013JordMill,2013,Jordan Mills,OT,Louisiana Tech,6 ft 5 in,77,316,5.37,28.5,20,101,8.1,4.88,CHI,T,T,5,163
2013Sio Moor,2013,Sio Moore,OLB,Connecticut,6 ft 1 in,73,245,4.65,38,29,127,7.49,4.31,OAK,LB,LB,3,66
2013ZekeMott,2013,Zeke Motta,S,Notre Dame,6 ft 2 in,74,213,4.75,35.5,11,126,6.75,4.16,ATL,DB,DB,7,244
2013AlecOgle,2013,Alec Ogletree,OLB,Georgia,6 ft 2 in,74,242,4.7,33.5,20,122,7.16,4.39,STL,LB,LB,1,30
2013VinsPain,2013,Vinston Painter,OT,Virginia Tech,6 ft 4 in,76,306,4.95,30.5,32,97,7.71,4.56,DEN,G,G,6,173
2013QuinPatt,2013,Quinton Patton,WR,Louisiana Tech,6 ft 0 in,72,204,4.53,33,8,118,6.91,4.01,SFO,WR,WR,4,128
2013Ty PPowe,2013,Ty Powell,OLB,Harding,6 ft 2 in,74,249,4.64,37,28,122,6.98,4.4,SEA,DE,DE,7,231
