player_name,position,school,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,year,player_id,column_a,draft_round,draft_pick,tm,hof,position_standard,first4av,age,to,ap1,pb,st,carav,drav,g,cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,tkl,def_int,sk
Robert Ferguson,WR,Texas A&M,6-1,205.0,4.48,36.5,,120.0,7.24,4.07,2001,2001FERGUSONROBERTTEX,2001Robert Ferguson,2.0,41.0,GNB,No,WR,16.0,21.0,2008.0,0.0,0.0,2.0,18.0,15.0,83.0,,,,,,1.0,-8.0,0.0,151.0,1993.0,13.0,39.0,,
Bill Ferrario,OG,Wisconsin,6-2,314.0,5.3,,17.0,,,,2001,2001FERRARIOBILLWIS,2001Bill Ferrario,4.0,105.0,GNB,No,G,1.0,23.0,2002.0,0.0,0.0,0.0,1.0,1.0,16.0,,,,,,,,,,,,,,
Dauntae' Finger,TE,North Carolina,6-4,262.0,5.09,33.5,15.0,103.0,7.95,4.59,2001,2001FINGERDAUNTAE'NOR,2001Dauntae' Finger,7.0,205.0,TAM,No,TE,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Jamar Fletcher,CB,Wisconsin,5-9,180.0,4.48,,,,,,2001,2001FLETCHERJAMARWIS,2001Jamar Fletcher,1.0,26.0,MIA,No,DB,6.0,22.0,2008.0,0.0,0.0,0.0,9.0,3.0,105.0,,,,,,,,,,,,171.0,7.0,1
Richmond Flowers,WR,Tenn-Chattanooga,5-11,195.0,4.55,35.5,,114.0,6.98,3.96,2001,2001FLOWERSRICHMONDTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kynan Forney,OG,Hawaii,6-2,312.0,5.28,27.0,23.0,97.0,8.56,4.7,2001,2001FORNEYKYNANHAW,2001Kynan Forney,7.0,219.0,ATL,No,G,35.0,23.0,2009.0,0.0,0.0,6.0,38.0,38.0,98.0,,,,,,,,,,,,,,
Shawn Forte,S,Maryland,6-1,204.0,4.54,,20.0,,,,2001,2001FORTESHAWNMAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curtis Fuller,S,TCU,5-10,186.0,4.45,36.0,18.0,114.0,7.2,4.21,2001,2001FULLERCURTISTCU,2001Curtis Fuller,4.0,127.0,SEA,No,DB,3.0,23.0,2004.0,0.0,0.0,0.0,3.0,2.0,42.0,,,,,,,,,,,,40.0,1.0,
Setema Gali,DE,BYU,6-4,251.0,4.88,,,,,,2001,2001GALISETEMABYU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Gandy,OG,Notre Dame,6-4,305.0,5.2,30.5,,103.0,8.03,4.71,2001,2001GANDYMIKENOT,2001Mike Gandy,3.0,68.0,CHI,No,T,25.0,22.0,2009.0,0.0,0.0,6.0,42.0,8.0,108.0,,,,,,,,,,,,5.0,,
Rod Gardner,WR,Clemson,6-2,219.0,4.48,,,,,,2001,2001GARDNERRODCLE,2001Rod Gardner,1.0,15.0,WAS,No,WR,27.0,23.0,2006.0,0.0,0.0,4.0,25.0,23.0,91.0,2.0,7.0,46.0,2.0,0.0,5.0,24.0,0.0,242.0,3165.0,23.0,11.0,,
Randy Garner,DE,Arkansas,6-4,277.0,4.77,,,,,,2001,2001GARNERRANDYARK,2001Randy Garner,6.0,167.0,ATL,No,DE,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Roberto Garza,C,Texas A&M-Kingsville,6-2,303.0,5.0,32.5,37.0,114.0,7.71,4.53,2001,2001GARZAROBERTOTEX,2001Roberto Garza,4.0,99.0,ATL,No,G,19.0,22.0,2014.0,0.0,0.0,10.0,60.0,9.0,206.0,,,,,,,,,,,,6.0,,
Reggie Germany,WR,Ohio State,6-1,183.0,4.39,,,,,,2001,2001GERMANYREGGIEOHI,2001Reggie Germany,7.0,214.0,BUF,No,WR,2.0,23.0,2001.0,0.0,0.0,0.0,2.0,2.0,16.0,,,,,,,,,12.0,203.0,0.0,5.0,,
Derrick Gibson,S,Florida State,6-2,218.0,4.45,,17.0,,,,2001,2001GIBSONDERRICKFLO,2001Derrick Gibson,1.0,28.0,OAK,No,DB,12.0,22.0,2006.0,0.0,0.0,2.0,12.0,12.0,69.0,,,,,,,,,,,,159.0,3.0,2
Jason Glenn,OLB,Texas A&M,6-1,236.0,4.94,36.0,14.0,115.0,7.16,4.31,2001,2001GLENNJASONTEX,2001Jason Glenn,6.0,173.0,DET,No,LB,7.0,22.0,2006.0,0.0,0.0,0.0,7.0,,80.0,,,,,,,,,,,,83.0,,
Kenneth Grant,CB,Kentucky,5-10,204.0,4.53,39.0,,115.0,7.15,4.34,2001,2001GRANTKENNETHKEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeLawrence Grant,DE,Oregon State,6-3,280.0,4.77,,,,,,2001,2001GRANTDELAWRENCEORE,2001DeLawrence Grant,3.0,89.0,OAK,No,DE,13.0,21.0,2005.0,0.0,0.0,2.0,12.0,12.0,49.0,,,,,,,,,,,,45.0,,7
Javon Green,WR,Colorado,6-1,211.0,4.73,35.5,,113.0,7.41,4.34,2001,2001GREENJAVONCOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morlon Greenwood,OLB,Syracuse,6-0,237.0,4.69,33.5,21.0,112.0,7.62,4.08,2001,2001GREENWOODMORLONSYR,2001Morlon Greenwood,3.0,88.0,MIA,No,LB,29.0,23.0,2008.0,0.0,0.0,8.0,39.0,21.0,125.0,,,,,,,,,,,,468.0,2.0,7
Shane Griggs,QB,Michigan,6-4,199.0,4.83,,,,,,2001,2001GRIGGSSHANEMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latef Grim,WR,Pittsburgh,5-11,188.0,4.6,,,111.0,7.27,4.33,2001,2001GRIMLATEFPIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Guy,WR,Jackson State,6-2,211.0,4.61,38.5,,125.0,7.35,4.29,2001,2001GUYDANIELJAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Haayer,OG,Minnesota,6-6,298.0,5.3,,23.0,,,,2001,2001HAAYERADAMMIN,2001Adam Haayer,6.0,199.0,TEN,No,T,3.0,24.0,2005.0,0.0,0.0,0.0,3.0,,20.0,,,,,,,,,,,,,,
Corey Hall,S,Appalachian State,6-3,198.0,4.5,36.5,14.0,127.0,,,2001,2001HALLCOREYAPP,2001Corey Hall,7.0,215.0,ATL,No,DB,0.0,22.0,2001.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,
Ben Hamilton,C,Minnesota,6-5,303.0,5.26,33.5,17.0,106.0,7.62,4.62,2001,2001HAMILTONBENMIN,2001Ben Hamilton,4.0,113.0,DEN,No,G,45.0,24.0,2010.0,0.0,0.0,7.0,51.0,50.0,118.0,,,,,,,,,,,,2.0,,
Casey Hampton,DT,Texas,6-1,314.0,5.25,,34.0,,,,2001,2001HAMPTONCASEYTEX,2001Casey Hampton,1.0,19.0,PIT,No,DT,36.0,24.0,2012.0,0.0,5.0,11.0,73.0,73.0,173.0,,,,,,,,,,,,208.0,,9
Antoine Harris,TE,Louisville,6-3,260.0,4.93,,11.0,,,,2001,2001HARRISANTOINELOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaunard Harts,S,Boise State,6-0,200.0,4.56,34.5,12.0,119.0,7.14,,2001,2001HARTSSHAUNARDBOI,2001Shaunard Harts,7.0,212.0,KAN,No,DB,8.0,23.0,2004.0,0.0,0.0,1.0,8.0,8.0,51.0,,,,,,,,,,,,141.0,2.0,2
Edgerton Hartwell,ILB,West. Illinois,6-1,250.0,4.86,36.5,18.0,114.0,7.64,4.56,2001,2001HARTWELLEDGERTONWES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Hasselbeck,QB,Boston Col.,6-1,211.0,4.83,33.0,,113.0,7.27,4.4,2001,2001HASSELBECKTIMBOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Hayward,DE,Iowa State,6-5,255.0,4.91,41.0,21.0,127.0,7.43,4.43,2001,2001HAYWARDREGGIEIOW,2001Reggie Hayward,3.0,87.0,DEN,No,DE,25.0,22.0,2009.0,0.0,0.0,4.0,33.0,14.0,92.0,,,,,,,,,,,,141.0,1.0,39.5
Todd Heap,TE,Arizona State,6-5,252.0,4.68,,,,,,2001,2001HEAPTODDARI,2001Todd Heap,1.0,31.0,BAL,No,TE,25.0,21.0,2012.0,0.0,2.0,7.0,43.0,41.0,145.0,0.0,1.0,0.0,0.0,0.0,8.0,61.0,0.0,499.0,5869.0,42.0,9.0,,
Jamie Henderson,CB,Georgia,6-1,202.0,4.48,40.5,10.0,125.0,6.9,4.12,2001,2001HENDERSONJAMIEGEO,2001Jamie Henderson,4.0,101.0,NYJ,No,DB,3.0,22.0,2003.0,0.0,0.0,0.0,3.0,3.0,32.0,,,,,,,,,,,,36.0,1.0,
Anthony Henry,CB,South Florida,6-1,198.0,4.6,41.0,15.0,126.0,6.9,4.2,2001,2001HENRYANTHONYSOU,2001Anthony Henry,4.0,97.0,CLE,No,DB,27.0,24.0,2009.0,0.0,0.0,6.0,39.0,18.0,132.0,,,,,,,,,,,,425.0,31.0,2
Travis Henry,RB,Tennessee,5-9,223.0,4.61,,23.0,,,,2001,2001HENRYTRAVISTEN,2001Travis Henry,2.0,58.0,BUF,No,RB,32.0,22.0,2007.0,0.0,1.0,4.0,41.0,27.0,90.0,0.0,1.0,0.0,0.0,1.0,1488.0,6086.0,38.0,141.0,951.0,2.0,5.0,,
Anthony Herron,DE,Iowa,6-3,280.0,5.16,36.0,26.0,114.0,7.58,4.43,2001,2001HERRONANTHONYIOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Heupel,QB,Oklahoma,6-2,215.0,4.85,37.5,,114.0,7.18,4.15,2001,2001HEUPELJOSHOKL,2001Josh Heupel,6.0,177.0,MIA,No,QB,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Renaldo Hill,CB,Michigan State,5-11,178.0,4.68,35.5,10.0,116.0,7.07,4.18,2001,2001HILLRENALDOMIC,2001Renaldo Hill,7.0,202.0,ARI,No,DB,19.0,22.0,2010.0,0.0,0.0,7.0,37.0,12.0,141.0,,,,,,,,,,,,487.0,19.0,6.5
Russ Hochstein,OG,Nebraska,6-3,300.0,5.4,26.5,16.0,95.0,7.85,4.69,2001,2001HOCHSTEINRUSSNEB,2001Russ Hochstein,5.0,151.0,TAM,No,C,11.0,23.0,2012.0,0.0,0.0,1.0,27.0,0.0,149.0,,,,,,,,,0.0,0.0,0.0,3.0,,
Sedrick Hodge,OLB,North Carolina,6-4,244.0,4.49,32.0,21.0,120.0,,4.09,2001,2001HODGESEDRICKNOR,2001Sedrick Hodge,3.0,70.0,NOR,No,LB,19.0,23.0,2005.0,0.0,0.0,3.0,18.0,18.0,63.0,,,,,,,,,,,,161.0,,1
Paul Hogan,C,Alabama,6-3,290.0,5.5,29.0,26.0,102.0,7.78,4.54,2001,2001HOGANPAULALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jabari Holloway,TE,Notre Dame,6-2,253.0,4.91,38.5,20.0,113.0,7.14,4.4,2001,2001HOLLOWAYJABARINOT,2001Jabari Holloway,4.0,119.0,NWE,No,TE,1.0,22.0,2003.0,0.0,0.0,1.0,1.0,,26.0,,,,,,,,,15.0,157.0,0.0,2.0,,
Menson Holloway,DE,Texas-El Paso,6-2,284.0,4.9,34.5,19.0,111.0,7.54,4.43,2001,2001HOLLOWAYMENSONTEX,2001Menson Holloway,6.0,191.0,SFO,No,DE,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Rashad Holman,CB,Louisville,5-11,186.0,4.58,42.0,6.0,129.0,7.09,3.85,2001,2001HOLMANRASHADLOU,2001Rashad Holman,6.0,179.0,SFO,No,DB,4.0,23.0,2003.0,0.0,0.0,0.0,4.0,4.0,46.0,,,,,,,,,,,,89.0,2.0,
