player_id,year,player_name,position_combine,School,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,nfl_team,position_nfl_standard,draft_round
2010GenoAtki,2010,Geno Atkins,DT,Georgia,73,293.0,4.75,33.0,34.0,117.0,7.33,4.43,CIN,DT,4.0
2010BranBank,2010,Brandon Banks,WR,Kansas State,67,149.0,4.37,31.0,,113.0,6.88,4.29,Undrafted,Undrafted,8.0
2010KeviBasp,2010,Kevin Basped,DE,Nevada,76,258.0,4.75,29.0,26.0,104.0,7.54,4.88,Undrafted,Undrafted,8.0
2010ZaneBead,2010,Zane Beadles,OG,Utah,76,310.0,5.28,,27.0,,,,DEN,G,2.0
2010JasoBeau,2010,Jason Beauchamp,ILB,UNLV,75,244.0,4.89,39.5,21.0,120.0,7.1,,Undrafted,Undrafted,8.0
2010ChriBell,2010,Chris Bell,WR,Norfolk State,74,211.0,4.5,35.0,15.0,117.0,6.76,4.35,Undrafted,Undrafted,8.0
2010JoiqBell,2010,Joique Bell,RB,Wayne State (MI),71,220.0,4.68,36.5,,120.0,6.84,4.17,Undrafted,Undrafted,8.0
2010ArreBenn,2010,Arrelious Benn,WR,Illinois,73,219.0,4.57,37.0,20.0,118.0,,,TAM,WR,2.0
2010EricBerr,2010,Eric Berry,S,Tennessee,72,211.0,4.4,43.0,19.0,130.0,6.8,4.23,KAN,DB,1.0
2010JahvBest,2010,Jahvid Best,RB,California,70,199.0,4.34,32.5,18.0,113.0,6.75,4.17,DET,RB,1.0
2010CiroBlac,2010,Ciron Black,OG,LSU,76,327.0,5.53,25.5,23.0,91.0,8.52,5.13,Undrafted,Undrafted,8.0
2010LeGaBlou,2010,LeGarrette Blount,RB,Oregon,72,241.0,4.7,35.0,18.0,117.0,6.85,4.49,Undrafted,Undrafted,8.0
2010NyanBoat,2010,Nyan Boateng,WR,California,73,204.0,4.66,36.0,14.0,112.0,7.35,4.69,Undrafted,Undrafted,8.0
2010KyleBosw,2010,Kyle Bosworth,OLB,UCLA,73,236.0,4.69,32.5,25.0,117.0,6.67,4.11,Undrafted,Undrafted,8.0
