player_name,position,school,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,year,player_id,draft_round,draft_pick,ht,bench_press_score,broad_jump_score,forty_yard_score,shuttle_run_score,three_cone_score,vertical_leap_score,combine_score,draft_pick_flag
John Engelberger,DE,Virginia Tech,6 ft 4 in,260.0,4.73,34.0,24.0,115.0,6.95,4.28,2000,2000ENGELBERGERJOHNVIR,2.0,35.0,76,3.0,3.0,4.0,4.0,4.0,3.0,21.0,1
Dwan Epps,ILB,Texas Southern,6 ft 1 in,242.0,4.68,34.5,8.0,114.0,7.27,4.34,2000,2000EPPSDWANTEX,8.0,999.0,73,1.0,0.0,3.0,0.0,0.0,3.0,7.0,0
Matt Farmer,WR,Air Force,6 ft 0 in,190.0,4.51,33.0,14.0,108.0,6.63,3.94,2000,2000FARMERMATTAIR,8.0,999.0,72,0.0,1.0,3.0,4.0,4.0,1.0,13.0,0
Danny Farmer,WR,UCLA,6 ft 3 in,217.0,4.58,36.0,15.0,121.0,6.92,4.18,2000,2000FARMERDANNYUCL,4.0,103.0,75,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1
Kevin Feterik,QB,BYU,5 ft 11 in,207.0,4.92,31.0,18.0,106.0,7.3,4.45,2000,2000FETERIKKEVINBYU,8.0,999.0,71,0.0,2.0,2.0,2.0,2.0,3.0,11.0,0
Chafie Fields,WR,Penn State,6 ft 1 in,196.0,4.43,35.0,14.0,119.0,7.03,4.23,2000,2000FIELDSCHAFIEPEN,8.0,999.0,73,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0
Aaron Fields,DE,Troy,6 ft 4 in,243.0,4.76,34.0,22.0,115.0,7.51,4.56,2000,2000FIELDSAARONTRO,8.0,999.0,76,2.0,3.0,3.0,1.0,2.0,3.0,14.0,0
Zeron Flemister,TE,Iowa,6 ft 4 in,249.0,4.72,37.0,14.0,116.0,6.92,4.16,2000,2000FLEMISTERZERONIOW,8.0,999.0,76,1.0,3.0,3.0,4.0,4.0,4.0,19.0,0
Erik Flowers,DE,Arizona State,6 ft 4 in,271.0,4.75,33.0,24.0,114.0,7.21,4.15,2000,2000FLOWERSERIKARI,1.0,26.0,76,3.0,3.0,3.0,4.0,3.0,3.0,19.0,1
Derrick Foster,RB,Texas A&M-Kingsville,5 ft 11 in,201.0,4.43,34.5,19.0,117.0,6.84,4.36,2000,2000FOSTERDERRICKTEX,8.0,999.0,71,3.0,2.0,4.0,2.0,4.0,3.0,18.0,0
Larry Foster,WR,LSU,5 ft 10 in,198.0,4.55,37.0,14.0,121.0,6.88,4.06,2000,2000FOSTERLARRYLSU,8.0,999.0,70,0.0,3.0,2.0,4.0,3.0,3.0,15.0,0
John Frank,DE,Utah,6 ft 4 in,280.0,4.78,37.0,32.0,117.0,7.07,4.27,2000,2000FRANKJOHNUTA,6.0,178.0,76,4.0,3.0,3.0,4.0,4.0,4.0,22.0,1
Bubba Franks,TE,Miami (FL),6 ft 6 in,265.0,4.85,33.5,21.0,115.0,7.12,4.34,2000,2000FRANKSBUBBAMIA,1.0,14.0,78,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1
Todd Franz,S,Tulsa,6 ft 1 in,199.0,4.55,36.0,14.0,121.0,6.96,4.17,2000,2000FRANZTODDTUL,5.0,145.0,73,2.0,0.0,3.0,0.0,0.0,0.0,5.0,1
Arturo Freeman,S,South Carolina,6 ft 0 in,188.0,4.5,35.5,14.0,124.0,6.91,4.38,2000,2000FREEMANARTUROSOU,5.0,152.0,72,2.0,4.0,4.0,1.0,3.0,3.0,17.0,1
Byron Frisch,DE,BYU,6 ft 4 in,281.0,4.73,34.5,31.0,114.0,7.2,4.41,2000,2000FRISCHBYRONBYU,3.0,93.0,76,4.0,3.0,4.0,3.0,3.0,3.0,20.0,1
Mondriel Fulcher,FB,Miami (FL),6 ft 3 in,253.0,4.85,27.0,18.0,116.0,7.46,4.52,2000,2000FULCHERMONDRIELMIA,7.0,227.0,75,1.0,3.0,2.0,1.0,1.0,1.0,9.0,1
Trent Gamble,S,Wyoming,5 ft 9 in,186.0,4.56,37.0,21.0,124.0,6.6,3.9,2000,2000GAMBLETRENTWYO,8.0,999.0,69,4.0,4.0,3.0,4.0,4.0,3.0,22.0,0
Jason Gavadza,TE,Kent State,6 ft 3 in,249.0,4.62,32.5,22.0,113.0,7.15,4.3,2000,2000GAVADZAJASONKEN,6.0,204.0,75,3.0,2.0,4.0,3.0,3.0,2.0,17.0,1
Trevor Gaylor,WR,Miami (OH),6 ft 3 in,199.0,4.56,37.5,15.0,121.0,7.03,4.29,2000,2000GAYLORTREVORMIA,4.0,111.0,75,0.0,3.0,2.0,2.0,2.0,4.0,13.0,1
Kabeer Gbaja-Biamila,OLB,San Diego State,6 ft 4 in,243.0,4.65,34.0,21.0,120.0,6.9,4.28,2000,2000GBAJA-BIAMILAKABEERSAN,5.0,149.0,76,2.0,3.0,3.0,3.0,4.0,2.0,17.0,1
Sherrod Gideon,WR,Southern Miss,5 ft 11 in,173.0,4.66,36.0,15.0,121.0,6.92,4.18,2000,2000GIDEONSHERRODSOU,6.0,200.0,71,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
Ian Gold,OLB,Michigan,6 ft 1 in,221.0,4.56,33.0,21.0,115.0,6.97,4.19,2000,2000GOLDIANMIC,2.0,40.0,73,2.0,2.0,4.0,3.0,4.0,2.0,17.0,1
Dwayne Goodrich,CB,Tennessee,5 ft 11 in,195.0,4.45,36.0,15.0,122.0,6.9,4.14,2000,2000GOODRICHDWAYNETEN,2.0,49.0,71,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1
Lamar Grant,CB,Duke,5 ft 11 in,188.0,4.62,32.0,16.0,117.0,7.3,4.3,2000,2000GRANTLAMARDUK,8.0,999.0,71,3.0,1.0,1.0,1.0,1.0,1.0,8.0,0
Deon Grant,S,Tennessee,6 ft 2 in,209.0,4.5,36.0,15.0,121.0,6.96,4.17,2000,2000GRANTDEONTEN,2.0,57.0,74,2.0,0.0,4.0,0.0,0.0,0.0,6.0,1
Ernest Grant,DT,Ark-Pine Bluff,6 ft 5 in,316.0,5.31,29.5,24.0,98.0,8.0,5.03,2000,2000GRANTERNESTARK,6.0,167.0,77,1.0,1.0,1.0,1.0,1.0,3.0,8.0,1
Jonathan Gray,OT,Texas Tech,6 ft 4 in,338.0,5.85,23.0,20.0,94.0,7.9350000000000005,4.79,2000,2000GRAYJONATHANTEX,8.0,999.0,76,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0
Brian Gray,CB,BYU,6 ft 1 in,214.0,4.94,33.5,19.0,116.0,7.38,4.24,2000,2000GRAYBRIANBYU,8.0,999.0,73,4.0,1.0,1.0,2.0,1.0,1.0,10.0,0
Barrett Green,OLB,West Virginia,6 ft 0 in,233.0,4.56,36.0,22.0,120.0,7.09,4.28,2000,2000GREENBARRETTWES,2.0,50.0,72,2.0,3.0,4.0,0.0,0.0,3.0,12.0,1
Mike Green,S,NW State (LA),6 ft 0 in,189.0,4.53,38.5,16.0,118.0,7.06,4.2,2000,2000GREENMIKENW ,8.0,999.0,72,0.0,2.0,3.0,3.0,0.0,4.0,12.0,0
Mike Green,FB,Houston,6 ft 0 in,253.0,4.78,28.5,25.0,108.0,7.08,4.34,2000,2000GREENMIKEHOU,7.0,213.0,72,4.0,1.0,2.0,3.0,4.0,1.0,15.0,1
